description,is_ambiguous,ambiguity_type,rationale
"The location of the data (text, audio, video, image files, drawing files, GIS files, pdf, and any compressed data and software (including machine images), that are provided to the CSP for processing, storage or hosting by the CSP services in connection with the Department account and any computational results that Department or any end user derives from the foregoing through their use of the CSP’s services) shall be as per the terms and conditions of the Empanelment of the Cloud Service Provider.",True,3,Long nested list makes the required data location unclear.
Department must be able to access and retrieve such data in a CSP environment in a timely fashion for normalwork purposes.,True,1,"""timely fashion"" is a vague qualitative requirement."
The onus shall be on the Cloud Service Provider to perform all due diligence before releasing any such information to any such law enforcement agency.,False,0,
Department shall include the following clauses in the Agreement,False,0,
The Cloud Service Provider’s services offerings shall comply with the audit requirements defined under the terms and conditions of the Provisional Empanelment of the Cloud Service Providers (or STQC /MEITY guidelines as and when published),False,0,
"The Audit, Access and Reporting Requirements should be as per the terms and conditions of the Provisional Empanelment of the Cloud Service Provider",False,0,
"The proposed architecture for the cloud service should be capable of auto scaling without any manual intervention for all the resources including but not limited to vCPU, vRAM, Bandwidth, storage etc",False,0,
The proposed architecture should Auto scale the cloud workload to meet high / unpredictable demands,True,1,high / unpredictable demands is vague and qualitative.
"In this context, provisioning of Load Balancing, amongst others must be an integral part of the proposed architecture / solution",False,0,
"Auto-scaling to be done based on defined rules and parameters e.g., CPU utilization and memory usage",False,0,
Scaling should be done both vertically – by increasing the amount of memory available to each instance – or horizontally – by creating additional instances,False,0,
The Cloud platform should provide a way to track the billing based on utilization and service levels in a Dashboard,False,0,
The architecture should have the inherent feature capability to auto scale the deployed application in the scaled up resources.,False,0,
"View into the performance and availability of the cloud services being used, as well as alerts that are automatically triggered by changes in the health of those services",False,0,
"Event-based alerts, to provide proactive notifications of scheduled activities, such as any changes to the infrastructure powering the cloud resources",False,0,
"System-wide visibility into resource utilization, application performance, and operational health through proactive monitoring (collect and track metrics, collect and monitor log files, and set alarms) of the cloud resources",False,0,
Review of auto-scaling rules and limits,False,0,
Logs of all user activity within an account,False,0,
"The recorded information should include the identity of the API caller, the time of the API call, the source IP address of the API caller, the request parameters, and the response elements returned by the cloud service",False,0,
"This is required to enable security analysis, resource change tracking, and compliance auditing",False,0,
Ability to discover all of the provisioned resources and view the configuration of each,False,0,
"Notifications should be triggered each time a configuration changes, and Department or its nominated Agencies should be given the ability to dig into the configuration history to perform incident analysis",False,0,
"Monitoring of cloud resources with alerts to customers on security configuration gaps such as overly permissive access to certain compute instance ports and storage buckets, minimal use of role segregation using Identity and Access Management (IAM), and weak password policies",False,0,
Automated security assessment service that helps improve the security and compliance of applications deployed on cloud by automatically assessing applications for vulnerabilities or deviations from best practices,False,0,
"After performing an assessment, the tools should produce a detailed list of security findings prioritized by level of severity.",False,0,
It is the prime responsibility of CSP to ensure continuity of service at all times of the Agreement including exit management period (may be one month),True,4,“at all times” and “may be one month” conflict without clear scope.
"However, the elapse of the time shall be excused and in no way any facility/services shall be affected/degraded",True,5,“the elapse of the time” is unclear and obscures the intended requirement.
The responsibilities of Service Provider with respect to Exit Management / Transition-Out services on cloud include,False,0,
Provide necessary handholding and transition support to ensure the continuity and performance of the Services to the complete satisfaction of Department,False,0,
"Support Department in migration of the data, content and any other assets to the existing or new environment created by Department or any Agency (on behalf of Department) or on alternate cloud service provider’s or offerings to enable successful deployment and running of the Department’s applications on the new infrastructure by providing a mechanism to Department for the bulk retrieval of all data, scripts, software, images, and so forth to enable mirroring or copying to Department supplied industry standard media",False,0,
"The format of the data transmitted from the cloud service provider to Department should leverage standard data formats (e.g., OVF, VHD…) whenever possible to ease and enhance portability",False,0,
The format will be finalized by Department,False,0,
"The ownership of the data generated upon usage of the system, at any point of time during the contract or expiry or termination of the contract, shall rest absolutely with Department",False,0,
Ensure that all the documentation required by Department for smooth transition including configuration documents are kept up to date and all such documentation is handed over to Department during regular intervals as well as during the exit management process,False,0,
Shall not delete/ purge any data at the end of the without the express approval of Department,True,3,"Phrase ""at the end of the"" is incomplete and obscures the requirement."
"Once the exit process is completed, remove the Department data, content and other assets from the cloud environment and certify that the VM, Content and data destruction to Department as per stipulations and shall ensure that the data cannot be forensically recovered",True,3,"Sentence is grammatically broken, obscuring the intended destruction requirement."
"In this regard, department may seek an undertaking from the CSP",False,0,
There shall not be any additional cost associated with the Exit / Transitionout process.,False,0,
"The bidder will be responsible for provisioning of requisite network infrastructure (including switches, router, firewalls, and load balancers) to ensure accessibility of the servers as per defined SLA’s",False,0,
The CSP/Bidder facilities/services need to be certified / compliant to the following standards based on the project requirements,True,5,"""based on the project requirements"" leaves the applicable standards scope unclear."
"Electronic discovery (e-discovery) is the process of locating, preserving, collecting, processing, reviewing, and producing Electronically Stored Information (ESI) in the context of or criminal cases/proceedings or investigation",True,3,"Phrase ""in the context of or criminal cases"" is grammatically malformed."
The Law Enforcement Agency as mandated under any law for the time being in force may seek access to information stored on cloud as provided by the Service Provider,False,0,
Department shall ensure that the Cloud Service Provider’s services offerings are audited and certified by STQC/MeitY,False,0,
"The CSP shall implement the audit & compliance features to enable Department or its nominated agency to monitor the provisioned resources, performance, resource utilization, and security compliance",False,0,
Continuity and performance of the Services at all times including the duration of the Agreement and post expiry of the Agreement is a critical requirement of Department,False,0,
"CSP/Bidder to notify the agency promptly in the event of security incidents or intrusions, or requests from foreign government agencies for access to the data, to enable the agency to manage these events proactively",False,0,
The Bank of India intends to implement the following services in proposed private cloud environment for domestic segment which should be further extended on public cloud environment for use of Bank internal department and users,False,0,
The Bank is looking at automating the VM provisioning process considering various scenarios mentioned below,False,0,
"The Bidder & Private Cloud solution OEM has to deliver following use-cases while building the Private Cloud setup for Bank of India in stipulated time frame: VM provisioning at single site, VM provisioning across Multi site as, DC/DR/Public Cloud/Hybrid Cloud, Multiple virtual machines of same configuration across single and multiple sites in single request for High availability",True,3,Sentence is fragmented and the listed use-cases are hard to parse.
All the above workflows should be cloud agnostic,True,1,"""cloud agnostic"" is a vague qualitative term."
"Same Request form should be used for deployment, Single console – Single Form for deployment on any platform",True,3,Unclear whether one form or one console/form is required.
"User should be able to choose combination of OS, Application, T-shirt size and Platform while deploying",True,1,"""T-shirt size"" is vague and not precisely defined."
The Bidder & Private Cloud solution OEM has to ensure there is integration with ITSM Tool (BMC) so that it aligns with Bank of India ITIL process for Infrastructure provisioning,False,0,
Approval workflow should also be enabled within Automation & orchestration tool,False,0,
The proposed Tool should have option for auto approval for standard process as per Bank’s requirements,False,0,
"The Bidder & Private Cloud solution OEM has to ensure all the necessary integration with virtualization layer, network layer, storage layer & backup layer is done and workflows are created accordingly",False,0,
The bidder has to support any customizations done on the automation and orchestration for the defined period of project,True,3,"""defined period of project"" is context-dependent and unspecified."
The Bidder & Private Cloud solution OEM has to ensure availability of lease policy while creating virtual machine to ensure auto deletion of orphan VM happens after stipulated timeframe,False,0,
The VM servers wherever clustering is required for OS level cluster formation the same has to provision to workflow only,True,3,"Unclear what ""provision to workflow only"" means."
The Bank is looking at automating day-2 operations for virtual machines and it should be delivered to users via self-service portal without any manual intervention,False,0,
The Bidder & Private Cloud solution OEM has to deliver following use-case while building the Private Cloud setup for Bank of India in stipulated time frame so that users can request following day-2 operations without any manual intervention,False,0,
"Cloning of VM - make sure new IP address, Hostname and SID is created for the clone automatically",False,0,
"Resizing of VM as, addition/removal of vCPUs, Addition/removal of Memory, Addition/removal of storage",False,0,
The Bidder & Private Cloud solution OEM has to ensure that all the Day 2 operations happen via approval process where ever required,False,0,
The Bidder & Private Cloud solution OEM has to ensure that existing private cloud VM are also on-boarded on new platform and day-2 operations are enabled,False,0,
"The Bidder & Private Cloud solution OEM has to ensure that necessary integration at virtualization, Storage or network layer is done and operations are smooth",False,0,
The Bidder & Private Cloud solution OEM has to ensure that necessary approval process is in place to comply with ITIL framework,False,0,
Bank of India is looking at automating decommissioning process operations for virtual machines and it should be delivered to users via self-service portal without any manual intervention,False,0,
Bidder has to deliver following use-case while building Private Cloud setup for bank of India in stipulated time frame so that user can request decommissioning of VM via selfservice portal without any manual intervention,False,0,
"The Bidder & Private Cloud solution OEM has to ensure when VM is decommissioned relevant entries from network layer like IP, Hostname, DNS are deleted from environment and appropriate update is done in CMDB tool as BMC",False,0,
The Bidder & Private Cloud solution OEM has to ensure an archival period for VMs where the decommissioned VMs can be retrieved in needed without backup software,True,3,"""retrieved in needed"" and archival period are unclear."
Bank of India is looking at automating the process of VM induction ie automating the process of VM creation to security scan in staging area and then promoting to production environment,False,0,
The Bidder & Private Cloud solution OEM has to ensure that entire security process is followed while VM induction,False,0,
"Bank of India is looking to create auto scale of VM for critical application like UPI, MB wherein automated infrastructure components should be added basis the resource crunch",True,1,"""resource crunch"" is vague and undefined."
Provide Generic Auto Scale service for any deployment based on user discretion,True,5,"""based on user discretion"" leaves the requirement unspecified."
"It should consider LB, rules, custom template, threshold",False,0,
The Bidder & Private Cloud solution OEM has to ensure there is auto Scale up/down Provisioned VMs based on predefined cloud monitoring solution metrics,False,0,
Based on pre-defined criteria's will increase/decrease VM CPU/MEM,True,4,"Missing subject and typo in ""criteria's"" obscure meaning."
Based on pre-defined criteria's new VM instance will be created and configured behind LB,False,0,
"Post spike, VM will be scaled down automatically",False,0,
Bank of India is looking at a fast and efficient way to deploy database instances on demand,True,1,"""fast and efficient"" is a vague qualitative performance description."
"The Bidder & Private Cloud solution OEM should provide ready / custom workflow solutions to provision Oracle, MY SQL & Microsoft SQL creation with custom machine name prefixed with initial four letters of particular business group",True,3,"The phrase ""ready / custom workflow solutions"" and creation scope are unclear."
"The Bidder shall be responsible to deliver the database which is properly sized, patched, optimized and free from any bugs and vulnerabilities",False,0,
The Bidder shall be responsible to do regular maintenance of database images to avoid any performance issues,False,0,
All activities related to database administration has to be carried to keep image in optimized state,True,4,"The phrase ""has to be carried"" is ungrammatical and obscures the requirement."
"The service should cover deployments of all version of Oracle (Including Oracle RAC), Microsoft SQL and MYSQL",False,0,
"All runtime environment software (Java, PHP, Docker, Python) which are required to function database as a service should be preinstalled before delivering to end users",False,0,
"DBaaS console must have an option to deploy the DB in a Multi cluster Environment (DC-DR, DC-NDR, DR-NDR etc)",False,0,
Bank of India is looking at providing on demand backup to end-user wherein they can request adhoc backup from self-service portal,False,0,
The Bidder & Private Cloud solution OEM has to ensure there is smooth integration with provided backup solution and users will be able to request on-demand backup,False,0,
Bank of India is looking at providing on demand backup restore to end-user wherein they can request adhoc backup from self-service portal,True,3,"""backup restore"" and ""adhoc backup"" create unclear intended action."
Bank of India is looking to create firewall as a service for users to consume via selfservice portal,False,0,
The Bidder & Private Cloud solution OEM needs to ensure the following functionalities for Bank of India and required integration has to be done with existing firewall of Cloud Security solution & external as well,False,0,
Bank of India is looking to create Load balancer as a service for users to consume via self-service portal,False,0,
"The Bidder & Private Cloud solution OEM has to ensure the following functionalities for Bank of India and required integration with existing LB ie Netscalar, Array, Radware, F5 & one supplied with Cloud Security layer has to be done in stipulated time Bank of India is looking to leverage the existing VAPT tool (Nessus from Tenable) to automate the VAPT process on day zero",True,3,Multiple obligations and unclear attachment of 'one supplied with Cloud Security layer'.
The Bidder & Private Cloud solution OEM to provide capability to integrate with any 3rd party VAPT tools like Nessus,False,0,
The integration should allow VAPT scan trigger on Virtual machines on Day 0,False,0,
Create reports for SCAN and share with admin team over email,False,0,
Bank of India is looking to automate the process of DNS registration of the machines during provisioning process,False,0,
Bidder & Private Cloud solution OEM has to provide the capability to integrate with the Banks DNS to create forward and reverse Records during the provisioning process,False,0,
The Records should also be automatically cleared when the VM is decommissioned,False,0,
Bank of India is looking at a solution to host containers on the new platform; The platform provided should be able to manage the entire lifecycle of the containers,False,0,
Bank of India will be hosting their upcoming Digital application on container platform and requires entire lifecycle to be managed by proposed platform,False,0,
The Bidder & Private Cloud solution OEM has to provide the functionality for enterprise grade Kubernetes feature as per technical specifications of RFP,True,1,'enterprise grade' is a vague qualitative term.
"The bank will procure additional Container license, if required, as per the rate finalized in Part-VI of 6,3 Price Schedule",False,0,
"The Bidder has to ensure the necessary components like image registry, Kubernetes cluster management & monitoring is deployed and necessary Knowledge Transfer is given to Bank of India team",False,0,
The Bidder should have capability to create and manage containers on demand,False,0,
The Bidder should have capability to integrate with various container platforms,True,1,'various container platforms' is vague and unspecified.
The Bidder should be responsible for Completion of creating Container Platform cluster as per configuration given by the Bank,False,0,
"The Bidder should be responsible for Completion of creating Network setup for Services, Pods and Container Platform nodes and integration with Proposed Cloud security layer",False,0,
The Bidder should be responsible for Completion of creating Compute Profile (optional) for Container Platform nodes,False,0,
"The Bidder & Private Cloud solution OEM should be responsible for Completion of updating of As-Built document, if required",False,0,
Bidder & Private Cloud solution OEM must provide the container solution with CSI Files/Object integration,False,0,
"The Bank has planned to go for Hybrid cloud model in future for which private cloud integration with public cloud would be required; In such case, the Bank will ask bidder to create the environment and provision instances on public cloud as per contracted rate",True,3,It is unclear whether future cloud integration is required now or only later.
The Bidder shall be responsible for Creation of Public cloud Account and its activation for use,False,0,
The Bidder shall be responsible for Creation of Admin User under the newly created account and setup Multifactor Authentication,False,0,
The Bidder shall be responsible for Creation of VPC and Subnet as per bank requirement,False,0,
The Bidder shall be responsible to Create IPsec VPN over existing internet link between virtual private cloud and bank private Cloud premises network,False,0,
"The Bidder shall be responsible to Create Public Subnet, Routing group",True,3,It is unclear whether one or both items must be created.
The bidder will attach routing group with public Subnet/private Subnet,True,3,"The attachment target is unclear: public subnet, private subnet, or both."
"The Bidder shall be responsible for creation and launch virtual machines as per client specifications (Size, OS)",False,0,
The Bidder will create cloud-based security group with limited port / IP access to be defined by bank as per CISP and IT policy,False,0,
"The Bidder shall be responsible for Setup of back-up policy for each VM, as per retention policy defined by the bank",False,0,
The Bidder to Configure Transit & NAT Gateway for connectivity of VMs to outside network,False,0,
"The Bidder to Deploy monitoring services: to capture information about the IP traffic going to and from network interfaces in your VPC; For governance, compliance, operational auditing, and risk auditing; To give insights for performance and operational data in form of logs and metrics from a single platform; For threat detection service that continuously monitors your CSP accounts and workloads for malicious activity and delivers detailed security findings for visibility and remediation",False,0,
The Bidder shall be responsible for Creation of Identity and Access Management of users with Multifactor authentication,False,0,
The Bidder shall be responsible for Creation of Key Management Services (KMS) for encrypting data stored in public cloud,False,0,
The Bidder shall be responsible for VM migration including data from On-Premise to cloud region as and when required by the bank,False,0,
The Bidder has to ensure there is single console to manage both the environments ie On-Prem Private Cloud & Public Cloud setup,False,0,
"The Bidder is expected to understand the complete architecture of existing applications and process necessary for smooth migration of applications and databases including interdependencies between applications and data, incase if Bank plans for any application migration on Public Cloud",False,0,
The Bidder will be responsible for migrating the application to cloud and managing the cloud services,False,0,
The Bidder shall be responsible to monitor the cloud services and ensure 99.95 % uptime of all services as per agreement,False,0,
The Bidder shall be responsible for establishing connectivity between BOI’s premises to cloud DC and DR site,False,0,
The Bidder shall be responsible for monitoring and reporting of consumed services,False,0,
The Bidder to provide access to BOI for installation/commissioning and management of Virtual Machines,False,0,
"The Bidder shall provide necessary details including sizing, current loads, utilization, expected growth/demand and other details for scale up/scale down on monthly basis or as and when required by the Bank in close coordination with BOI, in case Bank goes for hosting workload in Public Cloud",False,0,
"BOI, The bidder and Public Cloud Service provider shall jointly workout multi-factor authentication for root account as well as any other privileged identity and access account associated with it",False,0,
"The Bidder shall be responsible for implementation of tools and processes for monitoring the availability of applications, responding to system troubleshooting",False,0,
"The Bidder shall be responsible Monitoring of performance, resource utilization and other events such as failure of services, degradation of services, availability of network, storage, Database systems, OS etc",False,0,
"The Bidder shall be responsible to provide the relevant reports, including real time as well as past data/reports on dashboard",False,0,
"The Bidder shall monitor Internet Links, MPLS -VPN including bandwidth, data transfer and response time and packet loss and perform corrective measures",False,0,
The Bidder will train and transfer the knowledge to the replacement agency or BOI to ensure continuity and performance of services post expiry of Contract,False,0,
The Bidder should be preferably in top two Tiers of partnership with Proposed Cloud Service Provider for cloud services,True,1,“preferably” and “top two Tiers” are vague and undefined.
The bidder should have cloud certified resources as on date of submission of bid on their payroll with the same proposed CSP,False,0,
The Public Cloud Service provider shall not delete any data before without approval of BOI during the period of Contract and will not delete any data after the expiry of Contract without written approval from BOI,True,4,“before without approval” is grammatically broken and unclear.
The Public Cloud Service provider will implement anti-malware and conduct regular vulnerability scanning and penetration testing of systems and infrastructure,False,0,
The Public Cloud Service provider shall have public Services in DMZ zone and High security services in MZ Zone,True,1,“public Services” and “High security services” are vague categories.
The Public Cloud Service Provider shall configure external connections to the hosting infrastructure required for connectivity with Bank Private Cloud,False,0,
The Public cloud Service provider shall be responsible for deployment of Security patches on underlying infrastructure (Bare metal Hardware and it’s dependent Software),False,0,
The Public Cloud Service provider should ensure and meet all standard data formats for data transfer /portability from cloud to BOI machines and vice-versa,False,0,
"The Public Cloud Service provider/Private Cloud solution OEM/Bidder shall demonstrate/Submit documentary proof for POC (Proof of Capability) as part of technical evaluation to understand the key features such as AUTO Scale up/down, Security protocols, management and administration and audit capabilities of offerings etc",False,0,
"The Public Cloud Service provider shall be responsible for security of Facilities, Physical Security of Hardware, Network infrastructure and virtualization Infrastructure",False,0,
"The Public Cloud Service provider shall be responsible for any Risk Management and planning, or issues related to migration of data from DC to DR",False,0,
The Public Cloud Service Provider shall be responsible for managed services of Public Cloud if Bank avails the same during the contract period,False,0,
"The Public Cloud Service provider shall provide necessary technical documentations, design documentations, standard Operating Procedures (SOPs) required for operations and management of services",False,0,
"All risk management related to migration, migration plan shall be jointly worked out with bidder and Cloud Service Provider",True,3,Unclear whether all risk management or only migration plan is jointly worked out.
"After the implementation of exit process, the bidder in coordination with cloud service provider will delete/remove VMs, contents and data with approval of BOI and ensure data cannot be forensically recovered and intimation of compliance thereafter",True,3,Unclear scope of deletion and what counts as compliance intimation.
The Public Cloud Service provider shall permit bank of India right to audit the Cloud Service Provider for compliance with contractual obligations; Such audit be conducted by either the organization’s own staff or by a third party auditor under contract to the Bank,True,3,Unclear who conducts the audit and who is being audited.
"The right to audit should also grant full access to any vendor’s facilities, installations operations, documentation, databases, and personnel used in performance of the service agreement",False,0,
"The Public Cloud Service Provider must execute an NDA (Non-Disclosure agreement) with bank , in case bank decides to migrate application on public cloud, that obligates them to keep confidential the existence and nature of the relationship with Bank",True,3,Unclear what 'them' refers to and when the NDA obligation applies.
"Additionally, the Public Cloud Service provider shall agree not to disclose any confidential data to third-parties, not disclose such data to their employees unless such employees need to have access to the data in order to fulfill the CSP’s obligations under the agreement, and will use the same degree of care and diligence to protect bank information from disclosure to others as vendor employs to protect its own information of similar importance",False,0,
"The Public Cloud Service provider shall be responsible for conduct of DR Drills and follow Standard Operating Procedures (SOP) and inform BOI in advance for such drills conducted twice a year normally, with 15 days’ prior notice",False,0,
"The Public Cloud Service Provider must assure that all systems and subsystems which will process, store or otherwise record protected information as defined and governed by any local, state, or national regulation such as PCI and GDPR , have necessary technical, physical, and procedural safeguards for controlling access to that information in accordance with those regulations",False,0,
"Cloud data center vendors/bidder should submit documents regarding what levels of system (eg, network, storage, memory, I/O, etc) oversubscription they will maintain for the department and under what circumstances/scenarios, also department should be able restrict use of the memory oversubscription capabilities present in the hypervisor for better application performance",True,2,Sentence structure makes the restriction on memory oversubscription unclear.
"Create a common operating environment and foundational elements with abstracted compute, network & security across On-Premises environments and Public Clouds so as to have unified visibility, operations and portability across clouds and should integrate seamlessly with Cloud management platform set up on premise",False,0,
The proposed cloud Service Provider (CSP) must be capable to provide resiliency at an entire site level failure without any change to the application architecture and should able to support zero Recovery Point Objective (RPO) across two Availability Zones,True,3,Unclear whether resiliency and zero RPO are separate or linked requirements.
"The bidder is required to factor all costs, including but not limited to all types of licenses, third party software and related software including middleware, components, sub-components, related modules or anything not explicitly mentioned in RFP, which comes by-default or additional modules of solution (even though which was initially not enabled, but enabled later on (intentionally / unintentionally and attract cost)) or implemented with/without knowledge of bank, required for commissioning, operationalization and functioning of the solution including related infra and complete setup (to be handled by the bidder) and/or meeting SLA terms; during implementation and the entire contract period",False,0,
"All licensing related compliances, issues and its expenses of the entire setup deployed by the vendor to be handled in full, by the bidder, during implementation and the entire contract period",False,0,
Bank will not pay any additional amount apart from the quoted finalized rates with selected bidder,False,0,
"If case, bank is forced to pay any amount due to non-compliance of any licensing terms, bank will deduct/recover the amount from any payable amount due to the selected bidder and invoke Performance Bank Guarantee (if required)",True,3,Unclear whether the bank deducts from any payable amount or also invokes the guarantee.
Bank of India is looking for creation of customized dashboards to be created for Infrastructure team to monitor and troubleshoot the components,False,0,
Bidder has to ensure the required 10 dashboards to be built as per requirement of Bank of India,False,0,
Bidder has to ensure the previous private cloud is integrated and Bank of India has visibility for both the clouds using the proposed tools,False,0,
Bidder has to also ensure that public cloud setup is also monitored through same dashboards,False,0,
Bidder has to provide single pane of glass for monitoring entire infrastructure,False,0,
Dashboards should auto recognize and accommodate change in infrastructure Hardware,False,0,
Dashboards should provide a capacity management view and also provide option to simulate scenarios for capacity planning,False,0,
Dashboards should have Infrastructure monitoring capability,False,0,
Dashboards should provide analytical information for right sizing the infrastructure,False,0,
"The dashboards should be real-time giving point in time information about Health of all the infrastructure components, current and future risks, capacity forecast and alerts",False,0,
"The Dashboards should also provide security hardening reports for industry standards like PCI-DSS, SOX etc",False,0,
The dashboards should be easily being convertible to PDF or EXCEL format and should have capability to be scheduled,False,0,
"The Bidder shall be responsible for design and provisioning of required IT infrastructure, underlying system software and cloud services for deploying and hosting various applications of BOI including DR site",False,0,
The Bank will share the list of applications that needs to be hosted on cloud infrastructure,False,0,
"The Bidder has to gauze the Application workloads criticality, complexity and the network connectivity required",True,4,"Typo in ""gauze"" obscures the intended verb."
"The solution should be capable of enabling automatic Scale in and Scale out, should be agnostic to underlying hardware, storage, network, and operating system and shall allow BOI to add/reduce cloud resources on demand basis through a user-friendly dashboard",False,0,
The solution needs to provide the ability for IT Administrators to automatically provision the services via a Web Portal (Self Provisioning),False,0,
"The Bidder will be responsible for adequately sizing the necessary compute, memory, and storage etc, building the redundancy into the architecture to meet the below cluster sizing and Service Level requirements mentioned in the RFP",True,1,"""adequately sizing"" is vague and not precisely defined."
The management components should be hosted in redundancy and high availability in separate cluster named as ‘management cluster’,True,4,"Awkward phrasing ""hosted in redundancy"" obscures meaning."
The Bidders needs to quote for 2 sites (DC and DR),False,0,
All Server Configuration for Clusters to be standardized on 32 cores 2 socket (64 cores) and with minimum 64 GB RAM (Physical memory) for each module,False,0,
"The sizing (CPU, RAM, Storage) should be done so as resource utilization (CPU, RAM, storage, network throughput) should not exceed 70% utilization of any components during the contract period",False,0,
The disks offered for HCI node should be size 7.68 TB SSD Drive with 6Gbps-SAS interface or better technology for above mentioned clusters highlighted in Table-1 & Table2,False,0,
"The cloud architecture should be capable of running diverse applications like web applications, databases, big data solution, AI/ML oriented applications etc with adequate provision of application level isolation",True,1,"""adequate provision"" is vague and qualitative."
"The Bidder shall integrate cloud infra with existing BMC ITAM, ITSM and ITOM for measuring the service levels, performance and utilization of applications, servers, storage and network etc; The said tool will also be used for generating periodic reports on utilization of resources as per SLA",False,0,
Any other integration which will be required to support operation and regulatory requirement,True,5,"""Any other integration"" depends on unstated operational context."
It is envisaged that Private cloud will be accessed through BOI LAN as well as over internet by BOI users and external entities,False,0,
BOI Private Cloud infrastructure will also have internet/API connectivity to other trusted organizations,False,0,
The bidder shall be responsible for delivering the aforementioned requirements,False,0,
